id,user,text,rating,created_at
1,user087,협찬 받아 작성한 후기입니다. 생각보다 너무 작고 부실해요 👍,2,2026/06/18 02:37
6,user059,[광고] 지금 구매하면 사은품 증정! 가성비 최고입니다 또 살게요 👍,5,2026/06/27 11:10
11,user050,생각보다 너무 작고 부실해요 😍 https://example.com/event,1,2026/04/20 14:33
16,user068,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 🙏,1,2026/05/14 06:59
21,user044,사이즈도 딱 맞고 마감이 깔끔해요,4,2026/01/08 06:12
26,user009,[광고] 지금 구매하면 사은품 증정! 색감이 사진이랑 똑같아서 만족합니다,4,2026/06/28 07:25
31,user114,재구매 의사 100% 강추합니다,5,2026/01/24 17:09
36,user119,배송이 정말 빨라서 깜짝 놀랐어요 😡,5,2026/02/28 05:51
41,user025,포장도 꼼꼼하고 품질이 기대 이상이에요 https://example.com/event,5,2026/03/02 22:27
46,user026,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 👍 http://bit.ly/abc123,2,2026/02/01 01:15
51,user010,가성비 최고입니다 또 살게요 🙏,5,2026/06/10 07:17
56,user117,고객센터 연결도 안 되고 최악이에요 😍,1,2026/04/19 18:42
61,user117,사진과 색이 완전히 달라서 실망했어요 http://bit.ly/abc123,1,2026/04/13 22:12
66,user028,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요 🙏 http://bit.ly/abc123,2,2026/03/26 08:21
71,user023,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 👍 http://bit.ly/abc123,2,2026/03/01 22:34
76,user021,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 👍 http://bit.ly/abc123,1,2026/02/06 17:04
81,user098,가격대비 그럭저럭이에요 http://bit.ly/abc123,3,2026/02/16 16:41
86,user071,사이즈도 딱 맞고 마감이 깔끔해요 😍 http://bit.ly/abc123,4,2026/04/03 07:53
91,user053,가성비 최고입니다 또 살게요 😡,4,2026/01/11 23:30
96,user089,가성비 최고입니다 또 살게요,4,2026/03/01 01:20
101,user085,냄새가 너무 심해서 못 쓰겠어요 ㅠㅠ,2,2026/04/09 00:36
106,user029,무난합니다 그냥 평타,3,2026/06/24 21:25
111,user107,고객센터 연결도 안 되고 최악이에요 😍 https://example.com/event,2,2026/04/20 13:17
116,user102,배송이 일주일이나 걸렸습니다 별로,,2026/02/19 10:01
121,user030,가격대비 그럭저럭이에요 👍 https://example.com/event,3,2026/04/11 14:25
126,user090,재구매 의사 100% 강추합니다 ㅠㅠ,4,2026/03/11 11:00
131,user099,[광고] 지금 구매하면 사은품 증정! 무난합니다 그냥 평타 👍 http://bit.ly/abc123,3,2026/02/25 08:18
136,user015,구매처: http://shop.example.com 방문하세요 포장도 꼼꼼하고 품질이 기대 이상이에요 😍,4,2026/05/17 06:57
141,user042,[광고] 지금 구매하면 사은품 증정! 가격대비 그럭저럭이에요 🙏,3,2026/05/16 16:09
146,user086,구매처: http://shop.example.com 방문하세요 배송이 일주일이나 걸렸습니다 별로 😡 http://bit.ly/abc123,1,2026/06/27 23:43
151,user101,협찬 받아 작성한 후기입니다. 사이즈도 딱 맞고 마감이 깔끔해요 👍 http://bit.ly/abc123,5,2026/04/27 06:23
156,user107,협찬 받아 작성한 후기입니다. 배송이 정말 빨라서 깜짝 놀랐어요 😍,5,2026/04/23 04:48
161,user003,색감이 사진이랑 똑같아서 만족합니다 😡 http://bit.ly/abc123,4,2026/03/26 02:22
166,user103,협찬 받아 작성한 후기입니다. 색감이 사진이랑 똑같아서 만족합니다 🙏 https://example.com/event,5,2026/05/09 02:46
171,user074,구매처: http://shop.example.com 방문하세요 가성비 최고입니다 또 살게요 🔥 https://example.com/event,5,2026/02/17 11:25
176,user009,재구매 의사 100% 강추합니다 😍,5,2026/03/13 22:46
181,user083,아직 잘 모르겠어요 더 써봐야 할 듯,3,2026/05/09 20:13
186,user064,아직 잘 모르겠어요 더 써봐야 할 듯 🔥,3,2026/05/15 15:56
191,user103,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요,1,2026/04/17 14:09
196,user053,색감이 사진이랑 똑같아서 만족합니다 😍 https://example.com/event,5,2026/05/25 19:58
201,user037,냄새가 너무 심해서 못 쓰겠어요 🔥,2,2026/06/03 11:59
206,user051,무난합니다 그냥 평타 😍,3,2026/04/06 23:55
211,user035,구매처: http://shop.example.com 방문하세요 무난합니다 그냥 평타 😡,3,2026/03/10 18:46
216,user088,협찬 받아 작성한 후기입니다. 냄새가 너무 심해서 못 쓰겠어요 🔥,1,2026/02/23 18:31
221,user029,협찬 받아 작성한 후기입니다. 사진과 색이 완전히 달라서 실망했어요 😡,1,2026/01/25 00:19
226,user039,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 😍,1,2026/03/02 17:37
231,user072,[광고] 지금 구매하면 사은품 증정! 사이즈도 딱 맞고 마감이 깔끔해요 👍,4,2026/02/16 06:55
236,user064,협찬 받아 작성한 후기입니다. 가성비 최고입니다 또 살게요 😡,5,2026/05/21 21:21
241,user013,[광고] 지금 구매하면 사은품 증정! 냄새가 너무 심해서 못 쓰겠어요 😡,2,2026/05/05 07:12
246,user039,협찬 받아 작성한 후기입니다. 포장도 꼼꼼하고 품질이 기대 이상이에요 😍 https://example.com/event,4,2026/02/19 07:36
251,user072,[광고] 지금 구매하면 사은품 증정! 생각보다 너무 작고 부실해요 😍 https://example.com/event,1,2026/05/14 03:01
256,user042,구매처: http://shop.example.com 방문하세요 사진과 색이 완전히 달라서 실망했어요 😡,2,2026/05/23 06:30
261,user079,[광고] 지금 구매하면 사은품 증정! 사진과 색이 완전히 달라서 실망했어요 👍 http://bit.ly/abc123,1,2026/01/19 20:43
266,user022,[광고] 지금 구매하면 사은품 증정! 배송이 정말 빨라서 깜짝 놀랐어요 🔥,4,2026/06/08 16:11
271,user031,사이즈도 딱 맞고 마감이 깔끔해요,5,2026/03/04 05:23
276,user074,포장도 꼼꼼하고 품질이 기대 이상이에요 🙏,4,2026/01/09 17:52
281,user017,[광고] 지금 구매하면 사은품 증정! 아직 잘 모르겠어요 더 써봐야 할 듯 ㅠㅠ,3,2026/02/05 22:20
286,user119,[광고] 지금 구매하면 사은품 증정! 사이즈도 딱 맞고 마감이 깔끔해요 https://example.com/event,,2026/02/15 14:00
291,user073,포장도 꼼꼼하고 품질이 기대 이상이에요 😍,4,2026/01/20 20:10
296,user073,구매처: http://shop.example.com 방문하세요 아직 잘 모르겠어요 더 써봐야 할 듯 😍 https://example.com/event,3,2026/04/12 17:43
301,user021,[광고] 지금 구매하면 사은품 증정! 사이즈도 딱 맞고 마감이 깔끔해요,4,2026/04/12 16:33
306,user054,무난합니다 그냥 평타 😡,3,2026/06/11 08:52
311,user054,[광고] 지금 구매하면 사은품 증정! 한 번 쓰고 고장났습니다 환불 원해요 👍,2,2026/04/02 04:45
316,user107,협찬 받아 작성한 후기입니다. 배송이 정말 빨라서 깜짝 놀랐어요 ㅠㅠ,,2026/03/05 02:45
321,user036,협찬 받아 작성한 후기입니다. 색감이 사진이랑 똑같아서 만족합니다 🔥,5,2026/03/15 04:02
326,user109,협찬 받아 작성한 후기입니다. 고객센터 연결도 안 되고 최악이에요 😡 http://bit.ly/abc123,1,2026/02/06 07:37
331,user023,가성비 최고입니다 또 살게요 😡 https://example.com/event,4,2026/06/18 22:56
336,user114,배송이 정말 빨라서 깜짝 놀랐어요 🙏 https://example.com/event,4,2026/04/16 12:22
341,user106,구매처: http://shop.example.com 방문하세요 배송이 일주일이나 걸렸습니다 별로 https://example.com/event,1,2026/06/21 19:30
346,user051,아직 잘 모르겠어요 더 써봐야 할 듯 👍 https://example.com/event,3,2026/06/02 16:36
351,user113,[광고] 지금 구매하면 사은품 증정! 무난합니다 그냥 평타 http://bit.ly/abc123,3,2026/03/14 08:24
356,user068,구매처: http://shop.example.com 방문하세요 가성비 최고입니다 또 살게요 😡,4,2026/05/01 05:12
361,user104,가성비 최고입니다 또 살게요,4,2026/03/23 22:41
366,user061,구매처: http://shop.example.com 방문하세요 사이즈도 딱 맞고 마감이 깔끔해요 👍,4,2026/06/12 16:19
371,user063,협찬 받아 작성한 후기입니다. 재구매 의사 100% 강추합니다 🔥,5,2026/03/21 05:20
376,user018,아직 잘 모르겠어요 더 써봐야 할 듯 🔥 https://example.com/event,3,2026/03/16 11:48
381,user078,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요,4,2026/02/25 08:53
386,user044,사진과 색이 완전히 달라서 실망했어요 ㅠㅠ,2,2026/02/04 12:25
391,user072,한 번 쓰고 고장났습니다 환불 원해요 😡,2,2026/05/02 00:41
396,user098,재구매 의사 100% 강추합니다 🔥 https://example.com/event,5,2026/06/08 00:21
401,user085,냄새가 너무 심해서 못 쓰겠어요 😍,1,2026/05/20 10:32
406,user019,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요 😍 http://bit.ly/abc123,4,2026/01/23 09:13
411,user017,[광고] 지금 구매하면 사은품 증정! 생각보다 너무 작고 부실해요 😡 http://bit.ly/abc123,2,2026/02/19 08:00
416,user093,생각보다 너무 작고 부실해요 https://example.com/event,2,2026/03/01 16:52
421,user096,사이즈도 딱 맞고 마감이 깔끔해요,4,2026/05/02 22:54
426,user109,[광고] 지금 구매하면 사은품 증정! 포장도 꼼꼼하고 품질이 기대 이상이에요 😍,4,2026/05/15 20:35
431,user094,구매처: http://shop.example.com 방문하세요 재구매 의사 100% 강추합니다 😍,4,2026/06/03 23:04
436,user047,[광고] 지금 구매하면 사은품 증정! 포장도 꼼꼼하고 품질이 기대 이상이에요 👍,4,2026/04/16 14:56
441,user021,고객센터 연결도 안 되고 최악이에요 🙏 https://example.com/event,1,2026/06/27 13:01
446,user023,가격대비 그럭저럭이에요 😡,3,2026/04/20 19:02
451,user020,한 번 쓰고 고장났습니다 환불 원해요 🔥 https://example.com/event,1,2026/04/21 18:16
456,user050,구매처: http://shop.example.com 방문하세요 포장도 꼼꼼하고 품질이 기대 이상이에요,,2026/04/20 20:33
461,user015,색감이 사진이랑 똑같아서 만족합니다,4,2026/05/09 17:52
466,user112,무난합니다 그냥 평타 👍,3,2026/03/07 07:12
471,user031,구매처: http://shop.example.com 방문하세요 배송이 정말 빨라서 깜짝 놀랐어요 ㅠㅠ,5,2026/03/16 19:21
476,user072,생각보다 너무 작고 부실해요 🔥 http://bit.ly/abc123,2,2026/05/26 08:22
481,user090,무난합니다 그냥 평타 👍 http://bit.ly/abc123,3,2026/06/03 06:10
486,user034,[광고] 지금 구매하면 사은품 증정! 재구매 의사 100% 강추합니다 🙏 http://bit.ly/abc123,4,2026/02/10 00:00
491,user020,구매처: http://shop.example.com 방문하세요 냄새가 너무 심해서 못 쓰겠어요 🙏,2,2026/01/18 00:11
496,user021,사이즈도 딱 맞고 마감이 깔끔해요 😡 http://bit.ly/abc123,4,2026/06/24 01:47
501,user046,포장도 꼼꼼하고 품질이 기대 이상이에요 👍,5,2026/06/05 08:57
506,user026,[광고] 지금 구매하면 사은품 증정! 재구매 의사 100% 강추합니다 😍,4,2026/01/16 06:06
511,user059,배송이 일주일이나 걸렸습니다 별로,2,2026/06/22 13:56
516,user018,[광고] 지금 구매하면 사은품 증정! 재구매 의사 100% 강추합니다 https://example.com/event,4,2026/03/12 18:15
521,user101,사이즈도 딱 맞고 마감이 깔끔해요,5,2026/04/05 04:21
